Picture   Pixel No.      Alpha       Red         Green       Blue
BK         211 =         255           0         162         232
BK         212 =         255           0         162         232
BK         213 =         255           0         162         232
BK         214 =         255           0         162         232
BK         215 =         255           0         162         232
BK         216 =         255           0         162         232
BK         217 =         255           0         162         232
BK         218 =         255           0         162         232
BK         219 =         255           0         162         232
BK         220 =         255           0         162         232
GS         221 =         255         237          28          36
GS         222 =         255         237          28          36
GS         223 =         255         237          28          36
GS         224 =         255         237          28          36
GS         225 =         255         237          28          36
GS         226 =         255         237          28          36
GS         227 =         255         237          28          36
GS         228 =         255         237          28          36
GS         229 =         255         237          28          36
GS         230 =         255         237          28          36
GS         231 =         255         237          28          36
GS         232 =         255         237          28          36
GS         233 =         255         237          28          36
GS         234 =         255         237          28          36
GS         235 =         255         237          28          36
GS         236 =         255         237          28          36
GS         237 =         255         237          28          36
GS         238 =         255         237          28          36
GS         239 =         255         237          28          36
BK         240 =         255           0         162         232
BK         241 =         255           0         162         232
BK         242 =         255           0         162         232
BK         243 =         255           0         162         232
BK         244 =         255           0         162         232
BK         245 =         255           0         162         232
BK         246 =         255           0         162         232
BK         247 =         255           0         162         232
BK         248 =         255           0         162         232
BK         249 =         255           0         162         232
BK         250 =         255           0         162         232
GS         251 =         255         237          28          36
GS         252 =         255         237          28          36
GS         253 =         255         237          28          36
GS         254 =         255         237          28          36
GS         255 =         255         237          28          36
GS         256 =         255         237          28          36
GS         257 =         255         237          28          36
GS         258 =         255         237          28          36
GS         259 =         255         237          28          36
GS         260 =         255         237          28          36
GS         261 =         255         237          28          36
GS         262 =         255         237          28          36
GS         263 =         255         237          28          36
GS         264 =         255         237          28          36
GS         265 =         255         237          28          36
GS         266 =         255         237          28          36
GS         267 =         255         237          28          36
GS         268 =         255         237          28          36
GS         269 =         255         237          28          36
BK         270 =         255           0         162         232
BK         271 =         255           0         162         232
BK         272 =         255           0         162         232
BK         273 =         255           0         162         232
BK         274 =         255           0         162         232
BK         275 =         255           0         162         232
BK         276 =         255           0         162         232
BK         277 =         255           0         162         232
BK         278 =         255           0         162         232
BK         279 =         255           0         162         232
BK         280 =         255           0         162         232
GS         281 =         255         237          28          36
GS         282 =         255         237          28          36
GS         283 =         255         237          28          36
GS         284 =         255         237          28          36
GS         285 =         255         237          28          36
GS         286 =         255         237          28          36
GS         287 =         255         237          28          36
GS         288 =         255         237          28          36
GS         289 =         255         237          28          36
GS         290 =         255         237          28          36
GS         291 =         255         237          28          36
GS         292 =         255         237          28          36
GS         293 =         255         237          28          36
GS         294 =         255         237          28          36
GS         295 =         255         237          28          36
GS         296 =         255         237          28          36
GS         297 =         255         237          28          36
GS         298 =         255         237          28          36
GS         299 =         255         237          28          36
BK         300 =         255           0         162         232
BK         301 =         255           0         162         232
BK         302 =         255           0         162         232
BK         303 =         255           0         162         232
BK         304 =         255           0         162         232
BK         305 =         255           0         162         232
BK         306 =         255           0         162         232
BK         307 =         255           0         162         232
BK         308 =         255           0         162         232
BK         309 =         255           0         162         232
BK         310 =         255           0         162         232
GS         311 =         255         237          28          36
GS         312 =         255         237          28          36
GS         313 =         255         237          28          36
GS         314 =         255         237          28          36
GS         315 =         255         237          28          36
GS         316 =         255         237          28          36
GS         317 =         255         237          28          36
GS         318 =         255         237          28          36
GS         319 =         255         237          28          36
GS         320 =         255         237          28          36
GS         321 =         255         237          28          36
GS         322 =         255         237          28          36
GS         323 =         255         237          28          36
GS         324 =         255         237          28          36
GS         325 =         255         237          28          36
GS         326 =         255         237          28          36
GS         327 =         255         237          28          36
GS         328 =         255         237          28          36
GS         329 =         255         237          28          36
BK         330 =         255           0         162         232
BK         331 =         255           0         162         232
BK         332 =         255           0         162         232
BK         333 =         255           0         162         232
BK         334 =         255           0         162         232
BK         335 =         255           0         162         232
BK         336 =         255           0         162         232
BK         337 =         255           0         162         232
BK         338 =         255           0         162         232
BK         339 =         255           0         162         232
BK         340 =         255           0         162         232
GS         341 =         255         237          28          36
GS         342 =         255         237          28          36
GS         343 =         255         237          28          36
GS         344 =         255         237          28          36
GS         345 =         255         237          28          36
GS         346 =         255         237          28          36
GS         347 =         255         237          28          36
GS         348 =         255         237          28          36
GS         349 =         255         237          28          36
GS         350 =         255         237          28          36
GS         351 =         255         237          28          36
GS         352 =         255         237          28          36
GS         353 =         255         237          28          36
GS         354 =         255         237          28          36
GS         355 =         255         237          28          36
GS         356 =         255         237          28          36
GS         357 =         255         237          28          36
GS         358 =         255         237          28          36
GS         359 =         255         237          28          36
BK         360 =         255           0         162         232
BK         361 =         255           0         162         232
BK         362 =         255           0         162         232
BK         363 =         255           0         162         232
BK         364 =         255           0         162         232
BK         365 =         255           0         162         232
BK         366 =         255           0         162         232
BK         367 =         255           0         162         232
BK         368 =         255           0         162         232
BK         369 =         255           0         162         232
BK         370 =         255           0         162         232
GS         371 =         255         237          28          36
GS         372 =         255         237          28          36
GS         373 =         255         237          28          36
GS         374 =         255         237          28          36
GS         375 =         255         237          28          36
GS         376 =         255         237          28          36
GS         377 =         255         237          28          36
GS         378 =         255         237          28          36
GS         379 =         255         237          28          36
GS         380 =         255         237          28          36
GS         381 =         255         237          28          36
GS         382 =         255         237          28          36
GS         383 =         255         237          28          36
GS         384 =         255         237          28          36
GS         385 =         255         237          28          36
GS         386 =         255         237          28          36
GS         387 =         255         237          28          36
GS         388 =         255         237          28          36
GS         389 =         255         237          28          36
BK         390 =         255           0         162         232
BK         391 =         255           0         162         232
BK         392 =         255           0         162         232
BK         393 =         255           0         162         232
BK         394 =         255           0         162         232
BK         395 =         255           0         162         232
BK         396 =         255           0         162         232
BK         397 =         255           0         162         232
BK         398 =         255           0         162         232
BK         399 =         255           0         162         232
BK         400 =         255           0         162         232
GS         401 =         255         237          28          36
GS         402 =         255         237          28          36
GS         403 =         255         237          28          36
GS         404 =         255         237          28          36
GS         405 =         255         237          28          36
GS         406 =         255         237          28          36
GS         407 =         255         237          28          36
GS         408 =         255         237          28          36
GS         409 =         255         237          28          36
GS         410 =         255         237          28          36
GS         411 =         255         237          28          36
GS         412 =         255         237          28          36
GS         413 =         255         237          28          36
GS         414 =         255         237          28          36
GS         415 =         255         237          28          36
GS         416 =         255         237          28          36
GS         417 =         255         237          28          36
GS         418 =         255         237          28          36
GS         419 =         255         237          28          36
BK         420 =         255           0         162         232
BK         421 =         255           0         162         232
BK         422 =         255           0         162         232
BK         423 =         255           0         162         232
BK         424 =         255           0         162         232
BK         425 =         255           0         162         232
BK         426 =         255           0         162         232
BK         427 =         255           0         162         232
BK         428 =         255           0         162         232
BK         429 =         255           0         162         232
BK         430 =         255           0         162         232
GS         431 =         255         237          28          36
GS         432 =         255         237          28          36
GS         433 =         255         237          28          36
GS         434 =         255         237          28          36
GS         435 =         255         237          28          36
GS         436 =         255         237          28          36
GS         437 =         255         237          28          36
GS         438 =         255         237          28          36
GS         439 =         255         237          28          36
GS         440 =         255         237          28          36
GS         441 =         255         237          28          36
GS         442 =         255         237          28          36
GS         443 =         255         237          28          36
GS         444 =         255         237          28          36
GS         445 =         255         237          28          36
GS         446 =         255         237          28          36
GS         447 =         255         237          28          36
GS         448 =         255         237          28          36
GS         449 =         255         237          28          36
BK         450 =         255           0         162         232
BK         451 =         255           0         162         232
BK         452 =         255           0         162         232
BK         453 =         255           0         162         232
BK         454 =         255           0         162         232
BK         455 =         255           0         162         232
BK         456 =         255           0         162         232
BK         457 =         255           0         162         232
BK         458 =         255           0         162         232
BK         459 =         255           0         162         232
BK         460 =         255           0         162         232
GS         461 =         255         237          28          36
GS         462 =         255         237          28          36
GS         463 =         255         237          28          36
GS         464 =         255         237          28          36
GS         465 =         255         237          28          36
GS         466 =         255         237          28          36
GS         467 =         255         237          28          36
GS         468 =         255         237          28          36
GS         469 =         255         237          28          36
GS         470 =         255         237          28          36
GS         471 =         255         237          28          36
GS         472 =         255         237          28          36
GS         473 =         255         237          28          36
GS         474 =         255         237          28          36
GS         475 =         255         237          28          36
GS         476 =         255         237          28          36
GS         477 =         255         237          28          36
GS         478 =         255         237          28          36
GS         479 =         255         237          28          36
BK         480 =         255           0         162         232
BK         481 =         255           0         162         232
BK         482 =         255           0         162         232
BK         483 =         255           0         162         232
BK         484 =         255           0         162         232
BK         485 =         255           0         162         232
BK         486 =         255           0         162         232
BK         487 =         255           0         162         232
BK         488 =         255           0         162         232
BK         489 =         255           0         162         232
BK         490 =         255           0         162         232
GS         491 =         255         237          28          36
GS         492 =         255         237          28          36
GS         493 =         255         237          28          36
GS         494 =         255         237          28          36
GS         495 =         255         237          28          36
GS         496 =         255         237          28          36
GS         497 =         255         237          28          36
GS         498 =         255         237          28          36
GS         499 =         255         237          28          36
GS         500 =         255         237          28          36
GS         501 =         255         237          28          36
GS         502 =         255         237          28          36
GS         503 =         255         237          28          36
GS         504 =         255         237          28          36
GS         505 =         255         237          28          36
GS         506 =         255         237          28          36
GS         507 =         255         237          28          36
GS         508 =         255         237          28          36
GS         509 =         255         237          28          36
BK         510 =         255           0         162         232
BK         511 =         255           0         162         232
BK         512 =         255           0         162         232
BK         513 =         255           0         162         232
BK         514 =         255           0         162         232
BK         515 =         255           0         162         232
BK         516 =         255           0         162         232
BK         517 =         255           0         162         232
BK         518 =         255           0         162         232
BK         519 =         255           0         162         232
BK         520 =         255           0         162         232
GS         521 =         255         237          28          36
GS         522 =         255         237          28          36
GS         523 =         255         237          28          36
GS         524 =         255         237          28          36
GS         525 =         255         237          28          36
GS         526 =         255         237          28          36
GS         527 =         255         237          28          36
GS         528 =         255         237          28          36
GS         529 =         255         237          28          36
GS         530 =         255         237          28          36
GS         531 =         255         237          28          36
GS         532 =         255         237          28          36
GS         533 =         255         237          28          36
GS         534 =         255         237          28          36
GS         535 =         255         237          28          36
GS         536 =         255         237          28          36
GS         537 =         255         237          28          36
GS         538 =         255         237          28          36
GS         539 =         255         237          28          36
BK         540 =         255           0         162         232
BK         541 =         255           0         162         232
BK         542 =         255           0         162         232
BK         543 =         255           0         162         232
BK         544 =         255           0         162         232
BK         545 =         255           0         162         232
BK         546 =         255           0         162         232
BK         547 =         255           0         162         232
BK         548 =         255           0         162         232
BK         549 =         255           0         162         232
BK         550 =         255           0         162         232
GS         551 =         255         237          28          36
GS         552 =         255         237          28          36
GS         553 =         255         237          28          36
GS         554 =         255         237          28          36
GS         555 =         255         237          28          36
GS         556 =         255         237          28          36
GS         557 =         255         237          28          36
GS         558 =         255         237          28          36
GS         559 =         255         237          28          36
GS         560 =         255         237          28          36
GS         561 =         255         237          28          36
GS         562 =         255         237          28          36
GS         563 =         255         237          28          36
GS         564 =         255         237          28          36
GS         565 =         255         237          28          36
GS         566 =         255         237          28          36
GS         567 =         255         237          28          36
GS         568 =         255         237          28          36
GS         569 =         255         237          28          36
BK         570 =         255           0         162         232
BK         571 =         255           0         162         232
BK         572 =         255           0         162         232
BK         573 =         255           0         162         232
BK         574 =         255           0         162         232
BK         575 =         255           0         162         232
BK         576 =         255           0         162         232
BK         577 =         255           0         162         232
BK         578 =         255           0         162         232
BK         579 =         255           0         162         232
BK         580 =         255           0         162         232
GS         581 =         255         237          28          36
GS         582 =         255         237          28          36
GS         583 =         255         237          28          36
GS         584 =         255         237          28          36
GS         585 =         255         237          28          36
GS         586 =         255         237          28          36
GS         587 =         255         237          28          36
GS         588 =         255         237          28          36
GS         589 =         255         237          28          36
GS         590 =         255         237          28          36
GS         591 =         255         237          28          36
GS         592 =         255         237          28          36
GS         593 =         255         237          28          36
GS         594 =         255         237          28          36
GS         595 =         255         237          28          36
GS         596 =         255         237          28          36
GS         597 =         255         237          28          36
GS         598 =         255         237          28          36
GS         599 =         255         237          28          36
BK         600 =         255           0         162         232
BK         601 =         255           0         162         232
BK         602 =         255           0         162         232
BK         603 =         255           0         162         232
BK         604 =         255           0         162         232
BK         605 =         255           0         162         232
BK         606 =         255           0         162         232
BK         607 =         255           0         162         232
BK         608 =         255           0         162         232
BK         609 =         255           0         162         232
BK         610 =         255           0         162         232
GS         611 =         255         237          28          36
GS         612 =         255         237          28          36
GS         613 =         255         237          28          36
GS         614 =         255         237          28          36
GS         615 =         255         237          28          36
GS         616 =         255         237          28          36
GS         617 =         255         237          28          36
GS         618 =         255         237          28          36
GS         619 =         255         237          28          36
GS         620 =         255         237          28          36
GS         621 =         255         237          28          36
GS         622 =         255         237          28          36
GS         623 =         255         237          28          36
GS         624 =         255         237          28          36
GS         625 =         255         237          28          36
GS         626 =         255         237          28          36
GS         627 =         255         237          28          36
GS         628 =         255         237          28          36
GS         629 =         255         237          28          36
BK         630 =         255           0         162         232
BK         631 =         255           0         162         232
BK         632 =         255           0         162         232
BK         633 =         255           0         162         232
